,v3s,,,v3s2,,,v3s3,,,v3s5,,,v3s7,,,v3s9,,
eijkbs4863,UNSAT,6,2.675,UNSAT,5,4.0588,UNSAT,6,7.5657,UNSAT,6,18.26,UNSAT,6,35.575,UNSAT,6,261.87
eijkbs6669,timeout,,,timeout,,,error:-6,,,timeout,,,timeout,,,timeout,,
eijks1423,timeout,,,timeout,,,error:-6,,,error:-6,,,error:-6,,,error:-6,,
eijks208,UNSAT,30,0.078449,UNSAT,26,0.10498,UNSAT,29,0.11207,UNSAT,30,0.1393,UNSAT,30,0.18858,UNSAT,31,0.23576
eijks208c,UNSAT,31,0.074336,UNSAT,28,0.080345,UNSAT,29,0.091067,UNSAT,33,0.14922,UNSAT,31,0.17292,UNSAT,32,0.27283
eijks208o,UNSAT,10,0.007564,UNSAT,10,0.009885,UNSAT,9,0.015645,UNSAT,8,0.020155,UNSAT,8,0.024062,UNSAT,8,0.037672
eijks382,UNSAT,59,11.224,UNSAT,59,7.721,error:-6,,,error:-6,,,error:-6,,,error:-6,,
eijks420,UNSAT,943,248.98,UNSAT,1015,433.93,UNSAT,971,248.07,UNSAT,901,272.29,UNSAT,913,331.65,UNSAT,892,325.77
eijks444,UNSAT,74,113.28,UNSAT,84,129.95,error:-6,,,error:-6,,,error:-6,,,error:-6,,
eijks526,timeout,,,UNSAT,60,38.063,UNSAT,60,215.41,UNSAT,60,131.8,UNSAT,60,83.211,UNSAT,55,132.5
eijks5378,UNSAT,36,78.855,UNSAT,29,85.105,error:-6,,,error:-6,,,error:-6,,,error:-6,,
eijks641,UNSAT,6,0.016223,UNSAT,5,0.040282,UNSAT,4,0.03545,UNSAT,3,0.061048,UNSAT,3,0.18267,UNSAT,3,0.89224
eijks713,UNSAT,6,0.040359,UNSAT,5,0.031195,UNSAT,4,0.026465,UNSAT,3,0.057006,UNSAT,3,0.1984,UNSAT,3,0.74787
eijks838,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,
irstdme4,SAT,37,282.34,SAT,26,10.434,SAT,27,12.57,SAT,31,90.162,SAT,23,28.698,timeout,,
irstdme5,SAT,25,8.9658,SAT,26,7.3984,SAT,22,412.41,SAT,26,15.646,SAT,28,175.26,timeout,,
irstdme6,SAT,31,29.202,SAT,22,13.744,SAT,22,10.176,SAT,25,49.315,SAT,28,443.69,SAT,32,848.68
kenflashp05,UNSAT,3,0.007716,UNSAT,3,0.024309,UNSAT,3,0.05862,UNSAT,3,0.11999,UNSAT,3,0.23463,UNSAT,3,0.40726
kenflashp11,UNSAT,3,0.026056,UNSAT,3,0.057559,UNSAT,3,0.088979,UNSAT,3,0.15793,UNSAT,3,0.30421,UNSAT,3,0.52486
mentorbm1and,SAT,12,491.1,timeout,,,error:-6,,,error:-6,,,error:-6,,,error:-6,,
mentorbm1p00,UNSAT,13,8.013,UNSAT,12,7.7823,error:-6,,,error:-6,,,error:-6,,,error:-6,,
mentorbm1p01,UNSAT,41,390.91,timeout,,,error:-6,,,error:-6,,,error:-6,,,error:-6,,
mentorbm1p04,UNSAT,6,1.5856,UNSAT,6,1.6353,error:-6,,,error:-6,,,error:-6,,,error:-6,,
mentorbm1p05,UNSAT,20,144.18,UNSAT,8,25.631,error:-6,,,error:-6,,,error:-6,,,error:-6,,
mentorbm1p07,timeout,,,UNSAT,34,128.27,error:-6,,,error:-6,,,error:-6,,,error:-6,,
mentorbm1p08,UNSAT,20,66.893,UNSAT,13,9.7705,error:-6,,,error:-6,,,error:-6,,,error:-6,,
mentorbm1p10,timeout,,,timeout,,,error:-6,,,error:-6,,,error:-6,,,error:-6,,
mentorbm1p11,timeout,,,timeout,,,error:-6,,,error:-6,,,error:-6,,,error:-6,,
mentorbm1p12,timeout,,,SAT,10,518.57,error:-6,,,error:-6,,,error:-6,,,error:-6,,
neclabakery001,UNSAT,67,4.8428,UNSAT,87,9.5898,UNSAT,76,6.2121,UNSAT,68,13.333,UNSAT,86,32.226,UNSAT,77,63.14
neclaftp1001,UNSAT,30,651.26,timeout,,,timeout,,,timeout,,,UNSAT,9,14.66,UNSAT,6,8.967
neclaftp1002,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,
neclaftp2001,UNSAT,47,566.3,UNSAT,43,541.04,UNSAT,36,459.52,UNSAT,33,473.42,UNSAT,13,27.33,UNSAT,7,6.9678
neclaftp2002,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,
neclaftp3001,SAT,5,1.1448,SAT,5,1.1885,SAT,5,1.2013,SAT,5,1.397,SAT,5,3.1996,SAT,5,13.877
neclaftp3002,SAT,7,1.3397,SAT,7,1.4624,SAT,7,1.5049,SAT,5,1.3918,SAT,5,4.0172,SAT,5,11.471
nusmvbrp,UNSAT,26,1.1328,UNSAT,26,1.6386,UNSAT,22,2.5574,UNSAT,21,4.5238,UNSAT,18,8.3118,UNSAT,17,10.981
nusmvdme116,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,
nusmvdme216,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,
nusmvguidancep2,UNSAT,21,3.9106,UNSAT,18,5.5194,UNSAT,18,8.8294,UNSAT,17,15.675,UNSAT,18,23.396,UNSAT,14,31.156
nusmvguidancep4,UNSAT,4,0.005457,UNSAT,4,0.012986,UNSAT,4,0.054734,UNSAT,3,0.062085,UNSAT,3,0.094766,UNSAT,3,0.12019
nusmvguidancep5,UNSAT,17,2.5763,UNSAT,18,5.0934,UNSAT,19,14.65,UNSAT,17,6.8861,UNSAT,19,27.742,UNSAT,18,75.174
nusmvguidancep6,UNSAT,15,2.4983,UNSAT,11,2.0248,UNSAT,10,2.8507,UNSAT,12,11.803,UNSAT,10,9.4575,UNSAT,8,17.65
nusmvguidancep7,UNSAT,25,9.9849,UNSAT,23,12.469,UNSAT,19,15.203,UNSAT,24,43.778,UNSAT,20,71.921,UNSAT,21,76.739
nusmvguidancep8,UNSAT,20,2.9029,UNSAT,22,5.8262,UNSAT,21,12.645,UNSAT,21,20.226,UNSAT,15,43.133,UNSAT,13,47.187
nusmvguidancep9,UNSAT,21,7.8672,UNSAT,17,7.7642,UNSAT,14,1.9934,UNSAT,13,7.8413,UNSAT,16,22.216,UNSAT,17,87.751
nusmvqueue,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,
nusmvreactorp2,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,
nusmvreactorp6,UNSAT,134,789.33,timeout,,,UNSAT,136,843.36,UNSAT,103,836.8,timeout,,,timeout,,
nusmvtcasp5,SAT,25,14.589,SAT,24,20.425,SAT,23,31.063,SAT,21,54.04,SAT,19,81.202,SAT,17,84.233
nusmvtcastp5,SAT,25,9.4782,SAT,24,17.519,SAT,23,26.109,SAT,21,38.05,SAT,19,116.07,SAT,13,82.073
oski1rub00i,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,
oski1rub01i,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,
oski1rub02i,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,
oski1rub03i,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,
oski1rub04i,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,
oski1rub05i,UNSAT,3,0.017262,UNSAT,3,0.18873,UNSAT,3,0.41289,UNSAT,3,0.84196,UNSAT,3,1.2906,UNSAT,3,1.7266
oski1rub07i,UNSAT,6,447.5,UNSAT,5,289.34,UNSAT,8,346.05,UNSAT,6,425.08,UNSAT,8,525.73,UNSAT,6,544.76
oski1rub08i,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,
oski1rub09i,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,
oski1rub10i,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,
oski2ub0i,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,
oski2ub1i,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,
oski2ub2i,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,
oski2ub3i,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,
oski2ub4i,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,
oski2ub5i,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,
oski3ub0i,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,
oski3ub1i,SAT,13,373.11,SAT,12,374.88,SAT,11,351.83,SAT,10,499.19,SAT,7,542.1,SAT,7,540.39
oski3ub2i,UNSAT,8,4.3414,UNSAT,10,25.883,UNSAT,10,29.354,UNSAT,9,15.227,UNSAT,8,35.575,UNSAT,8,23.285
oski3ub3i,SAT,13,358.32,SAT,12,354.76,SAT,12,375.04,SAT,10,558.26,SAT,7,533.82,SAT,7,549.27
oski3ub4i,SAT,13,517.22,SAT,12,561.23,SAT,11,518.5,SAT,10,577.09,SAT,7,554.86,SAT,7,840.84
oski3ub5i,SAT,13,608.67,SAT,12,705.24,SAT,11,714.34,timeout,,,SAT,7,765.32,timeout,,
oski4ui,timeout,,,timeout,,,timeout,,,timeout,,,error:-6,,,error:-6,,
oski5ui,timeout,,,timeout,,,timeout,,,timeout,,,error:-6,,,error:-6,,
pdtfifo1to0,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,
pdtpmsam2901,UNSAT,4,0.91724,UNSAT,4,2.2804,UNSAT,4,45.322,timeout,,,timeout,,,timeout,,
pdtpmsbufferalloc,timeout,,,timeout,,,error:-6,,,error:-6,,,error:-6,,,error:-6,,
pdtpmscoherence,UNSAT,18,37.764,UNSAT,15,30.742,UNSAT,12,53.057,UNSAT,12,71.69,UNSAT,10,161.06,UNSAT,9,274.96
pdtpmseisenberg,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,
pdtpmsfpmult,UNSAT,7,0.83282,UNSAT,6,0.95122,UNSAT,5,2.0079,UNSAT,5,4.393,UNSAT,5,6.9868,UNSAT,5,8.6216
pdtpmsgigamax,UNSAT,7,0.32506,UNSAT,6,0.53036,UNSAT,5,0.94332,UNSAT,5,2.0762,UNSAT,5,3.6163,UNSAT,5,11.846
pdtpmsgoodbakery,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,
pdtpmsheap,UNSAT,25,4.3717,UNSAT,24,4.9046,UNSAT,22,6.6711,UNSAT,22,22.607,UNSAT,23,18.968,UNSAT,18,28.738
pdtpmsmiim,UNSAT,52,1.3988,UNSAT,36,1.6788,UNSAT,40,4.8534,UNSAT,32,5.6496,UNSAT,34,9.2912,UNSAT,29,16.936
pdtpmsns2,UNSAT,19,37.333,UNSAT,19,45.13,UNSAT,22,75.933,UNSAT,14,168.85,UNSAT,14,427.72,UNSAT,16,407.75
pdtpmsns3,timeout,,,timeout,,,error:-6,,,error:-6,,,error:-6,,,error:-6,,
pdtpmspalu,UNSAT,10,26.972,UNSAT,8,4.1518,UNSAT,8,29.859,UNSAT,6,23.138,timeout,,,timeout,,
pdtpmsretherrtf,UNSAT,65,222.81,timeout,,,UNSAT,46,54.383,error:-6,,,error:-6,,,error:-6,,
pdtpmsrethersqo,timeout,,,UNSAT,60,280.52,timeout,,,timeout,,,timeout,,,timeout,,
pdtpmssfeistel,UNSAT,22,298.76,UNSAT,16,251.86,UNSAT,16,519.33,UNSAT,12,845.03,timeout,,,UNSAT,12,822.36
pdtpmstimeout,timeout,,,timeout,,,timeout,,,timeout,,,UNSAT,15,493.11,UNSAT,8,137.72
pdtpmstwo,UNSAT,5,0.08319,UNSAT,4,0.087841,error:-6,,,error:-6,,,error:-6,,,error:-6,,
pdtpmsudc12,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,
pdtpmsudc16,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,
pdtpmsudc8,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,
pdtpmsviper,UNSAT,10,321,UNSAT,9,310.86,error:-6,,,error:-6,,,timeout,,,timeout,,
pdtpmsvsa16a,UNSAT,11,10.55,UNSAT,10,11.13,error:-6,,,error:-6,,,error:-6,,,error:-6,,
pdtpmsvsar,UNSAT,12,15.798,UNSAT,11,12.795,error:-6,,,error:-6,,,error:-6,,,error:-6,,
pdtswvibs8x8p0,SAT,11,0.08306,SAT,10,0.17614,SAT,6,0.11544,SAT,7,0.19939,SAT,7,0.3799,SAT,6,0.69797
pdtswvibs8x8p1,UNSAT,39,26.549,UNSAT,31,27.259,UNSAT,56,30.038,UNSAT,54,68.381,UNSAT,36,95.204,UNSAT,46,238.48
pdtswvqis10x6p0,SAT,35,2.3719,SAT,31,1.707,SAT,33,1.8667,SAT,34,2.8323,SAT,54,10.574,SAT,45,17.023
pdtswvqis10x6p1,UNSAT,117,146.07,UNSAT,117,129.07,UNSAT,117,171.71,UNSAT,116,212.63,UNSAT,114,246.31,UNSAT,100,293.85
pdtswvqis10x6p2,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,
pdtswvqis8x8p0,SAT,29,3.1139,SAT,27,3.1581,SAT,27,4.5344,SAT,26,3.1717,SAT,49,5.3617,SAT,52,13.285
pdtswvqis8x8p1,UNSAT,94,84.486,UNSAT,95,58.596,UNSAT,97,126.89,UNSAT,87,78.077,UNSAT,81,145.5,UNSAT,89,222.22
pdtswvqis8x8p2,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,
pdtswvrod6x8p1,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,
pdtswvrod6x8p2,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,
pdtswvroz10x6p1,UNSAT,53,4.2082,UNSAT,69,11.141,UNSAT,53,6.0378,UNSAT,57,10.292,UNSAT,56,16.702,UNSAT,53,10.532
pdtswvroz10x6p2,UNSAT,103,32.797,UNSAT,89,32.073,UNSAT,90,30.563,UNSAT,91,50.816,UNSAT,90,49.202,UNSAT,95,79.58
pdtswvroz8x8p1,UNSAT,70,4.098,UNSAT,44,5.969,UNSAT,49,4.1783,UNSAT,59,11.556,UNSAT,53,12.055,UNSAT,49,12.272
pdtswvroz8x8p2,UNSAT,98,15.837,UNSAT,103,33.653,UNSAT,100,24.331,UNSAT,82,29.569,UNSAT,74,53.148,UNSAT,87,62.461
pdtswvsam4x8p4,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,
pdtswvsam6x8p0,SAT,15,1.6619,SAT,16,1.378,SAT,18,2.2874,SAT,18,2.0635,SAT,17,2.4315,SAT,14,6.5698
pdtswvsam6x8p1,UNSAT,13,0.29181,UNSAT,11,0.34667,UNSAT,10,0.37694,UNSAT,13,0.85245,UNSAT,10,1.0101,UNSAT,12,3.0037
pdtswvsam6x8p2,UNSAT,18,0.23322,UNSAT,14,0.34683,UNSAT,17,0.35902,UNSAT,20,1.1432,UNSAT,9,0.52858,UNSAT,9,1.1849
pdtswvsam6x8p3,UNSAT,43,140.85,UNSAT,44,206.52,UNSAT,45,156.4,UNSAT,39,285.85,UNSAT,46,475.6,timeout,,
pdtswvsam6x8p4,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,
pdtswvtma6x4p2,UNSAT,51,66.918,UNSAT,56,87.185,UNSAT,52,89.168,UNSAT,52,80.71,UNSAT,48,123.88,UNSAT,53,240.39
pdtswvtma6x4p3,UNSAT,61,445.61,UNSAT,61,476.55,UNSAT,56,552.73,UNSAT,57,611.91,UNSAT,57,863.55,timeout,,
pdtswvtma6x6p1,UNSAT,54,81.575,UNSAT,48,74.05,UNSAT,56,108.05,UNSAT,48,150.66,UNSAT,46,265.73,UNSAT,47,732.23
pdtswvtma6x6p2,UNSAT,60,580.05,UNSAT,62,562.6,UNSAT,57,696.46,UNSAT,55,875.79,timeout,,,timeout,,
pdtswvtma6x6p3,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,
pdtswvtms10x8p1,UNSAT,20,22.216,UNSAT,16,14.859,UNSAT,14,22.296,UNSAT,20,43.867,UNSAT,18,78.932,UNSAT,11,111.87
pdtswvtms12x8p1,UNSAT,21,22.084,UNSAT,17,37.486,UNSAT,14,30.622,UNSAT,21,40.967,UNSAT,18,59.635,UNSAT,8,105.1
pdtswvtms14x8p1,UNSAT,26,22.213,UNSAT,36,68.865,UNSAT,13,53.837,UNSAT,24,72.584,UNSAT,24,155.47,UNSAT,8,168.44
pdtvisbakery0,UNSAT,32,5.874,UNSAT,30,6.5349,UNSAT,36,34.031,UNSAT,25,23.02,UNSAT,25,32.788,UNSAT,24,63.358
pdtvisbakery1,UNSAT,30,7.1078,UNSAT,33,9.209,UNSAT,31,15.14,UNSAT,30,33.885,UNSAT,26,45.292,UNSAT,23,69.844
pdtvisbakery2,UNSAT,33,14.28,UNSAT,30,29.901,UNSAT,37,71.953,UNSAT,27,57.02,UNSAT,23,64.292,UNSAT,24,84.855
pdtvisbufferalloc,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,
pdtviscoherence4,UNSAT,9,0.40176,UNSAT,8,0.49671,UNSAT,7,0.35404,UNSAT,6,2.0768,UNSAT,6,2.8069,UNSAT,7,6.2886
pdtviscoherence5,UNSAT,11,0.31871,UNSAT,9,0.49474,UNSAT,8,0.61974,UNSAT,7,1.4608,UNSAT,9,5.9844,UNSAT,9,10.773
pdtviseisenberg0,UNSAT,14,1.3026,UNSAT,20,5.8295,UNSAT,21,6.3037,UNSAT,15,4.2675,UNSAT,21,18.796,UNSAT,9,5.2198
pdtviseisenberg1,UNSAT,14,0.75415,UNSAT,13,0.92854,UNSAT,15,0.8825,UNSAT,14,5.567,UNSAT,16,2.5193,UNSAT,11,14.496
pdtviseisenberg2,UNSAT,20,2.7644,UNSAT,15,0.8404,UNSAT,14,1.5885,UNSAT,19,7.6548,UNSAT,13,2.3565,UNSAT,11,6.6617
pdtvisgigamax0,UNSAT,5,0.013816,UNSAT,5,0.068951,UNSAT,5,0.062656,UNSAT,6,0.14696,UNSAT,4,0.25934,UNSAT,4,0.42628
pdtvisgigamax1,UNSAT,5,0.036737,UNSAT,5,0.054861,UNSAT,5,0.072517,UNSAT,6,0.22538,UNSAT,6,0.46644,UNSAT,4,0.54178
pdtvisgigamax2,UNSAT,5,0.020914,UNSAT,5,0.035599,UNSAT,6,0.11456,UNSAT,6,0.19819,UNSAT,4,0.25008,UNSAT,4,0.42383
pdtvisgoodbakery0,UNSAT,30,5.1272,UNSAT,30,6.8032,UNSAT,25,9.6965,UNSAT,20,13.126,UNSAT,27,27.368,UNSAT,24,63.315
pdtvisgoodbakery1,UNSAT,32,7.4557,UNSAT,35,19.938,UNSAT,32,8.8632,UNSAT,30,39.464,UNSAT,24,34.694,UNSAT,26,58.784
pdtvisgoodbakery2,UNSAT,40,31.431,UNSAT,34,11.472,UNSAT,27,40.813,UNSAT,31,166.46,UNSAT,25,29.645,UNSAT,26,48.058
pdtvisns2p0,UNSAT,12,1.1963,UNSAT,11,1.1229,UNSAT,13,1.7754,UNSAT,10,3.6306,UNSAT,10,5.6268,UNSAT,13,15.117
pdtvisns2p1,UNSAT,13,1.461,UNSAT,19,2.3164,UNSAT,13,2.532,UNSAT,11,4.3284,UNSAT,12,7.6203,UNSAT,9,10.762
pdtvisns2p2,UNSAT,11,0.44289,UNSAT,11,0.37322,UNSAT,12,0.73667,UNSAT,11,1.6229,UNSAT,10,5.3626,UNSAT,7,5.1231
pdtvisns3p00,UNSAT,14,4.9633,UNSAT,13,6.5415,UNSAT,15,26.718,UNSAT,12,43.412,UNSAT,11,43.091,UNSAT,13,123.58
pdtvisns3p01,UNSAT,19,14.388,UNSAT,15,25.49,UNSAT,19,31.338,UNSAT,18,62.036,UNSAT,10,47.757,UNSAT,14,113.66
pdtvisns3p02,UNSAT,13,4.7189,UNSAT,10,4.0921,UNSAT,9,8.8893,UNSAT,12,31.172,UNSAT,12,38.906,UNSAT,11,120.84
pdtvisns3p03,UNSAT,13,7.0038,UNSAT,12,10.465,UNSAT,11,9.552,UNSAT,11,25.607,UNSAT,12,53.912,UNSAT,12,90.886
pdtvisns3p04,UNSAT,16,11.963,UNSAT,16,14.659,UNSAT,13,21.824,UNSAT,15,142.38,UNSAT,16,178.78,UNSAT,11,133.04
pdtvisns3p05,UNSAT,17,5.8433,UNSAT,12,9.5276,UNSAT,16,20,UNSAT,13,84.119,UNSAT,15,244.91,UNSAT,12,76.936
pdtvisns3p06,UNSAT,19,20.121,UNSAT,16,9.6027,UNSAT,17,31.573,UNSAT,14,70.736,UNSAT,17,93.895,UNSAT,13,154.31
pdtvisns3p07,UNSAT,14,3.5718,UNSAT,13,7.42,UNSAT,11,10.097,UNSAT,15,31.642,UNSAT,10,35.356,UNSAT,12,243.68
pdtvisns3p08,UNSAT,11,0.85024,UNSAT,12,1.3437,UNSAT,10,2.5223,UNSAT,8,2.9793,UNSAT,9,11.5,UNSAT,9,23.096
pdtvisns3p09,UNSAT,13,1.2057,UNSAT,11,1.5622,UNSAT,14,2.2671,UNSAT,10,4.7806,UNSAT,10,9.8059,UNSAT,10,25.242
pdtvisrethersqo4,UNSAT,48,17.024,UNSAT,42,9.1939,UNSAT,43,13.656,error:-6,,,error:-6,,,error:-6,,
pdtvissfeistel,UNSAT,22,69.122,UNSAT,21,140.73,UNSAT,15,181.07,UNSAT,14,489.88,timeout,,,timeout,,
pdtvissoap1,UNSAT,13,1.6326,UNSAT,19,4.4542,UNSAT,20,17.067,UNSAT,20,53.562,UNSAT,9,11.709,UNSAT,9,7.6966
pdtvissoap2,UNSAT,14,1.9723,UNSAT,13,1.1943,UNSAT,13,1.6993,UNSAT,12,3.2543,UNSAT,12,5.81,UNSAT,10,18.501
pdtvistimeout0,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,
pdtvisvending01,UNSAT,24,19.081,UNSAT,21,20.429,UNSAT,21,29.499,UNSAT,19,75.164,UNSAT,22,160.69,UNSAT,19,186.46
pdtvisvsa16a27,UNSAT,9,0.43791,UNSAT,9,0.75461,UNSAT,9,1.3326,error:-6,,,error:-6,,,error:-6,,
pdtvisvsa16a29,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,
pdtvisvsar27,UNSAT,10,0.074156,UNSAT,9,0.12457,UNSAT,8,0.22253,error:-6,,,error:-6,,,error:-6,,
pdtvisvsar29,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,
pdtvsar8multip00,UNSAT,6,0.015476,UNSAT,8,0.051484,UNSAT,8,0.084505,UNSAT,8,0.22862,UNSAT,6,0.27348,UNSAT,6,0.43974
pdtvsar8multip01,UNSAT,3,0.008685,UNSAT,3,0.022212,UNSAT,3,0.0381,UNSAT,3,0.07896,UNSAT,3,0.1295,UNSAT,3,0.16147
pdtvsar8multip02,UNSAT,5,0.006415,UNSAT,4,0.020763,UNSAT,4,0.045233,UNSAT,3,0.052496,UNSAT,3,0.091925,UNSAT,3,0.12063
pdtvsar8multip03,UNSAT,5,0.55715,UNSAT,5,0.94935,UNSAT,5,2.1831,UNSAT,5,5.1308,UNSAT,5,11.046,UNSAT,5,14.603
pdtvsar8multip04,UNSAT,6,0.032373,UNSAT,7,0.096932,UNSAT,6,0.18448,UNSAT,6,0.68558,UNSAT,6,1.439,UNSAT,6,1.8569
pdtvsar8multip05,UNSAT,9,1.9478,UNSAT,8,2.2921,UNSAT,7,5.8854,UNSAT,7,16.936,UNSAT,7,24.075,UNSAT,7,62.389
pdtvsar8multip06,UNSAT,6,0.12129,UNSAT,6,0.20491,UNSAT,7,0.66863,UNSAT,7,1.9765,UNSAT,5,2.8576,UNSAT,5,5.0763
pdtvsar8multip07,UNSAT,9,3.4765,UNSAT,9,4.5794,UNSAT,9,11.101,UNSAT,9,29.5,UNSAT,8,55.368,UNSAT,9,119
pdtvsar8multip08,UNSAT,6,0.048031,UNSAT,7,0.18699,UNSAT,7,0.45863,UNSAT,7,1.4003,UNSAT,5,1.5541,UNSAT,5,2.4648
pdtvsar8multip09,UNSAT,6,0.066067,UNSAT,6,0.14678,UNSAT,6,0.24551,UNSAT,6,0.88574,UNSAT,5,1.6332,UNSAT,5,2.5769
pdtvsar8multip10,UNSAT,9,1.9817,UNSAT,8,2.3962,UNSAT,8,6.7998,UNSAT,8,18.864,UNSAT,7,26.279,UNSAT,7,69.476
pdtvsar8multip11,UNSAT,4,0.009316,UNSAT,4,0.043613,error:-6,,,error:-6,,,error:-6,,,error:-6,,
pdtvsar8multip12,UNSAT,8,0.065664,UNSAT,7,0.08901,UNSAT,7,0.18124,UNSAT,6,0.40331,UNSAT,4,0.65386,UNSAT,3,1.072
pdtvsar8multip13,UNSAT,4,0.05321,UNSAT,5,0.091686,error:-6,,,error:-6,,,error:-6,,,error:-6,,
pdtvsar8multip14,UNSAT,4,0.018625,UNSAT,4,0.050966,UNSAT,4,0.085579,UNSAT,5,0.48768,UNSAT,5,1.1264,UNSAT,5,2.4336
pdtvsar8multip15,UNSAT,4,0.042163,UNSAT,4,0.073144,UNSAT,4,0.18029,UNSAT,6,0.73392,UNSAT,6,1.5287,UNSAT,6,2.0656
pdtvsar8multip16,UNSAT,3,0.000495,UNSAT,3,0.010877,UNSAT,3,0.020236,UNSAT,3,0.034996,UNSAT,3,0.05065,UNSAT,3,0.081607
pdtvsar8multip17,UNSAT,4,0.00496,UNSAT,4,0.021513,error:-6,,,error:-6,,,error:-6,,,error:-6,,
pdtvsar8multip18,UNSAT,3,0.000748,UNSAT,3,0.01024,UNSAT,3,0.019476,UNSAT,3,0.044544,UNSAT,3,0.067778,UNSAT,3,0.086792
pdtvsar8multip19,UNSAT,4,0.028015,UNSAT,4,0.044746,error:-6,,,error:-6,,,error:-6,,,error:-6,,
pdtvsar8multip20,UNSAT,4,0.008257,UNSAT,3,0.030979,error:-6,,,error:-6,,,error:-6,,,error:-6,,
pdtvsar8multip21,UNSAT,4,0.005047,UNSAT,4,0.020952,error:-6,,,error:-6,,,error:-6,,,error:-6,,
pdtvsar8multip22,UNSAT,4,0.012805,UNSAT,4,0.04113,error:-6,,,error:-6,,,error:-6,,,error:-6,,
pdtvsar8multip23,UNSAT,4,0.007687,UNSAT,4,0.024485,error:-6,,,error:-6,,,error:-6,,,error:-6,,
pdtvsar8multip24,UNSAT,4,0.002829,UNSAT,4,0.013503,error:-6,,,error:-6,,,error:-6,,,error:-6,,
pdtvsar8multip25,UNSAT,4,0.006733,UNSAT,4,0.021336,error:-6,,,error:-6,,,error:-6,,,error:-6,,
pdtvsar8multip26,UNSAT,4,0.007126,UNSAT,4,0.019354,error:-6,,,error:-6,,,error:-6,,,error:-6,,
pdtvsar8multip27,UNSAT,11,0.23747,UNSAT,8,0.30579,UNSAT,9,0.86736,error:-6,,,error:-6,,,error:-6,,
pdtvsar8multip28,UNSAT,3,0.000837,UNSAT,3,0.01047,UNSAT,3,0.016176,UNSAT,3,0.052935,UNSAT,3,0.07544,UNSAT,3,0.098518
pdtvsar8multip29,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,
pdtvsar8multip30,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,
pdtvsar8multip31,UNSAT,4,0.051525,UNSAT,4,0.078037,error:-6,,,error:-6,,,error:-6,,,error:-6,,
pdtvsar8multip32,UNSAT,3,0.20584,UNSAT,3,0.26311,UNSAT,3,0.38809,UNSAT,3,0.27512,UNSAT,3,0.38701,UNSAT,3,0.36928
pdtvsarmultip00,UNSAT,6,0.005398,UNSAT,8,0.038599,UNSAT,6,0.038084,UNSAT,6,0.070421,UNSAT,6,0.092376,UNSAT,6,0.12206
