,v3s,,,v3s2,,,v3s3,,,v3s5,,,v3s7,,,v3s9,,
beemkrebs4b1,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,
beemlann2b1,timeout,,,UNSAT,21,833.58,timeout,,,timeout,,,timeout,,,timeout,,
beemlann2f1,UNSAT,48,696.05,UNSAT,31,7.7025,UNSAT,34,24.593,UNSAT,39,63.193,UNSAT,27,90.088,UNSAT,26,47.087
beemlann4b1,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,
beemldelec1b1,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,
beemldelec4b1,SAT,5,160.71,SAT,4,251.06,SAT,3,96.734,SAT,3,527.75,timeout,,,timeout,,
beemldfilt1f1,UNSAT,117,845.59,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,
beemldfilt3b1,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,
beemldfilt4b1,UNSAT,18,844.2,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,
beemldfilt5b1,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,
beemlifts2b1,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,
beemlifts3b1,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,
beemlifts8b1,SAT,6,61.039,SAT,5,204.93,SAT,3,104.69,timeout,,,timeout,,,timeout,,
beemlmprt1b1,UNSAT,21,104.15,UNSAT,15,81.956,UNSAT,18,153.16,UNSAT,19,272.99,UNSAT,19,667.1,timeout,,
beemlmprt5b1,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,
beemlmprt5f1,UNSAT,24,7.9362,UNSAT,23,7.885,UNSAT,25,9.7098,UNSAT,24,31.606,UNSAT,22,39.45,UNSAT,19,69.515
beemlmprt7b1,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,
beemloyd2b1,SAT,8,8.7988,SAT,6,20.123,SAT,7,41.04,SAT,4,31.564,SAT,4,63.22,SAT,4,65.878
beemloyd3b1,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,
beemlptna5f1,UNSAT,23,40.004,UNSAT,22,38.817,UNSAT,25,182.16,UNSAT,23,194.15,UNSAT,22,743.72,UNSAT,20,762.02
beemmcs1f1,UNSAT,31,9.9895,UNSAT,14,2.5673,UNSAT,21,5.679,UNSAT,24,32.13,UNSAT,26,78.052,UNSAT,23,92.095
beemmcs3b1,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,
beemmcs4b1,UNSAT,16,410.9,UNSAT,13,431.71,UNSAT,13,615.64,timeout,,,timeout,,,timeout,,
beemmsmie1b1,UNSAT,16,73.436,UNSAT,10,60.15,UNSAT,11,150.92,UNSAT,9,329.96,timeout,,,timeout,,
beemmsmie3b1,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,
beemmsmie3f1,UNSAT,17,676.16,timeout,,,UNSAT,15,703.19,timeout,,,timeout,,,timeout,,
beemndhm2b2,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,
beemndhm2f2,UNSAT,11,43.792,UNSAT,10,33.034,UNSAT,9,60.583,UNSAT,7,136.95,UNSAT,9,290.85,UNSAT,9,430.35
beemndhm3b2,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,
beempgmprot1b1,UNSAT,17,31.857,UNSAT,21,80.109,UNSAT,17,76.098,UNSAT,17,170.85,UNSAT,17,429.3,UNSAT,17,450.27
beempgmprot1b2,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,
beempgmprot7b1,UNSAT,15,269.07,timeout,,,UNSAT,15,205.07,UNSAT,15,701.16,timeout,,,timeout,,
beempgsol2b1,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,
beempgsol5b1,SAT,4,98.396,SAT,3,68.349,timeout,,,SAT,1,566.2,SAT,1,12.65,SAT,1,1.3781
beemplc1b2,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,
beemprdcell2f1,SAT,20,33.23,timeout,,,timeout,,,SAT,38,876.35,timeout,,,timeout,,
beemprng1b1,SAT,4,4.4638,SAT,3,6.2853,SAT,3,149.06,SAT,1,1.2306,SAT,1,1.8248,SAT,1,2.9976
beemptrsn1b1,UNSAT,20,96.925,UNSAT,14,77.691,UNSAT,12,80.044,UNSAT,19,419.29,UNSAT,20,661.36,timeout,,
beemptrsn4b1,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,
beemptrsn7b1,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,
beemptrsn7f1,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,
beemrether3b1,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,
beemrether4f1,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,
beemrether6b1,SAT,10,5.4357,timeout,,,SAT,9,199.32,SAT,8,194.66,SAT,10,261.82,timeout,,
beemrshr2b1,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,
beemrshr2f1,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,
beemrshr3b1,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,
beemskbn1f1,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,
beemskbn2b1,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,
beemskbn2f1,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,
beemsnpse4f1,UNSAT,18,27.301,UNSAT,24,34.544,UNSAT,18,145.84,UNSAT,18,386.8,UNSAT,22,485.4,UNSAT,18,739.18
beemsnpse7b1,UNSAT,33,888.49,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,
beemszmsk1b1,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,
beemszmsk1f1,UNSAT,51,481.85,UNSAT,35,166.33,UNSAT,48,185.68,UNSAT,35,233.98,timeout,,,UNSAT,45,646.84
beemtlphn4b1,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,
beemtlphn5f1,UNSAT,20,205,UNSAT,21,124.55,UNSAT,20,210.31,UNSAT,19,398.99,UNSAT,22,579.67,timeout,,
beemtrngt2b1,UNSAT,31,36.569,UNSAT,20,27.829,UNSAT,19,50.976,UNSAT,17,82.821,UNSAT,17,99.576,UNSAT,11,110.36
beemtrngt3f1,SAT,30,311.37,timeout,,,SAT,26,124.19,timeout,,,timeout,,,SAT,22,485.46
beemtrngt4b1,UNSAT,27,88.17,UNSAT,24,273.02,UNSAT,25,310.38,UNSAT,21,742.68,UNSAT,21,664.15,UNSAT,15,110.42
beemtrngt5f1,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,
bj08amba2g3f3,UNSAT,12,0.42431,UNSAT,12,0.36715,UNSAT,11,0.41146,UNSAT,9,0.60745,UNSAT,8,1.2401,UNSAT,6,1.9139
bjrb07amba10andenv,UNSAT,13,383.81,UNSAT,10,601.94,UNSAT,9,363.56,UNSAT,10,567.46,timeout,,,timeout,,
bjrb07amba3andenv,UNSAT,11,3.8705,UNSAT,10,3.5661,UNSAT,9,3.5221,UNSAT,9,6.8347,UNSAT,9,15.699,UNSAT,7,26.727
bjrb07amba4andenv,UNSAT,8,7.0211,UNSAT,9,10.129,UNSAT,8,11.646,UNSAT,8,21.999,UNSAT,6,30.09,UNSAT,8,68.46
bjrb07amba5andenv,UNSAT,9,17.979,UNSAT,9,18.948,UNSAT,11,32.372,UNSAT,8,31.044,UNSAT,8,70.137,UNSAT,9,151.98
bjrb07amba6andenv,UNSAT,9,59.678,UNSAT,9,63.891,UNSAT,9,60.193,UNSAT,8,74.865,UNSAT,10,226.36,UNSAT,9,386.71
bjrb07amba7andenv,UNSAT,11,26.985,UNSAT,11,30.138,UNSAT,13,50.931,UNSAT,9,62.741,UNSAT,9,137.15,UNSAT,10,246.09
bjrb07amba9andenv,UNSAT,11,172.56,UNSAT,9,154.84,UNSAT,9,157.17,UNSAT,12,318.76,UNSAT,10,435.75,UNSAT,8,553.44
bob05,UNSAT,23,118.12,timeout,,,error:-6,,,error:-6,,,error:-6,,,error:-6,,
bob12s01,timeout,,,timeout,,,error:-6,,,error:-6,,,error:-6,,,error:-6,,
bob12s02,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,
bob12s03,timeout,,,timeout,,,error:-6,,,error:-6,,,error:-6,,,error:-6,,
bob12s04,timeout,,,timeout,,,SAT,1,22.417,SAT,1,22.425,SAT,1,24.6,SAT,1,25.03
bob12s05,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,
bob12s06,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,
bob12s07,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,error:-6,,
bob12s08,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,
bob12s09,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,
bob12s10,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,
