,V3s,,,V3sTem3,,,,v3s,,,V3sTem3,,,v3sTem5,,,v3sTem7,,
6s1,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s202b00,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s202b41,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s203b19,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s203b41,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s204b16,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s204b19,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s205b16,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s205b20,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s206rb025,UNSAT,5,43.326,UNSAT,9,83.241,,UNSAT,5,43.671,UNSAT,9,83.319,UNSAT,9,83.598,UNSAT,9,83.421
6s206rb103,UNSAT,11,81.992,UNSAT,11,88.257,,UNSAT,11,82.46,UNSAT,11,88.671,UNSAT,11,88.757,UNSAT,11,88.693
6s207rb16,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s207rb28,unknown,,,SAT,5,192.9,,unknown,,,SAT,5,201.99,SAT,5,202.09,SAT,5,202.42
6s209b0,UNSAT,7,17.416,UNSAT,7,16.174,,UNSAT,7,17.391,UNSAT,7,16.076,UNSAT,7,16.113,UNSAT,7,16.039
6s209b1,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s20,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s210b037,SAT,6,0.74361,SAT,4,0.33083,,SAT,6,0.75,SAT,4,0.35707,SAT,4,0.39872,SAT,4,0.3959
6s210b105,SAT,6,0.44663,SAT,4,0.38368,,SAT,6,0.44721,SAT,4,0.46292,SAT,4,0.40258,SAT,4,0.45963
6s215rb0,SAT,9,13.236,SAT,7,7.3423,,SAT,9,13.396,SAT,7,7.8635,SAT,7,7.9716,SAT,7,7.8162
6s216rb0,SAT,12,11.086,SAT,11,33.167,,SAT,12,11.345,SAT,11,35.376,SAT,11,35.368,SAT,11,35.1
6s218b1246,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s218b2950,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s21,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s221rb14,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s221rb18,UNSAT,3,0.2708,UNSAT,3,1.5143,,UNSAT,3,0.27025,UNSAT,3,1.5448,UNSAT,3,1.5437,UNSAT,3,1.5585
6s22,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s23,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s24,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s25,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s266rb2,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s267rb3,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s268r,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s269r,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s26,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s270b1,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s271rb045,UNSAT,8,173.6,unknown,,,,UNSAT,8,174.47,unknown,,,unknown,,,unknown,,
6s271rb079,UNSAT,8,42.517,UNSAT,7,46.951,,UNSAT,8,42.843,UNSAT,7,47.493,UNSAT,7,47.516,UNSAT,7,47.374
6s273b11,UNSAT,21,396.15,UNSAT,15,226.17,,UNSAT,21,398.11,UNSAT,15,227.14,UNSAT,15,227.07,UNSAT,15,227.45
6s273b37,UNSAT,18,260.78,UNSAT,16,132.82,,UNSAT,18,262.82,UNSAT,16,133.44,UNSAT,16,133.09,UNSAT,16,133.45
6s274r,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s275rb253,UNSAT,6,10.187,UNSAT,4,11.57,,UNSAT,6,10.089,UNSAT,4,11.843,UNSAT,4,11.83,UNSAT,4,11.893
6s275rb318,UNSAT,6,9.9888,UNSAT,4,11.613,,UNSAT,6,10.124,UNSAT,4,11.826,UNSAT,4,11.775,UNSAT,4,11.795
6s276rb318,UNSAT,12,12.835,UNSAT,10,15.658,,UNSAT,12,12.834,UNSAT,10,15.893,UNSAT,10,15.883,UNSAT,10,15.869
6s276rb342,UNSAT,12,10.599,UNSAT,10,12.384,,UNSAT,12,10.713,UNSAT,10,12.555,UNSAT,10,12.5,UNSAT,10,12.532
6s277rb292,UNSAT,12,12.847,UNSAT,10,15.962,,UNSAT,12,12.925,UNSAT,10,16.242,UNSAT,10,16.288,UNSAT,10,16.287
6s277rb342,UNSAT,12,10.685,UNSAT,10,12.387,,UNSAT,12,10.761,UNSAT,10,12.618,UNSAT,10,12.506,UNSAT,10,12.552
6s279r,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s27,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s280r,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s281b35,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s281b50,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s282b01,UNSAT,5,0.28027,UNSAT,5,0.48305,,UNSAT,5,0.2821,UNSAT,5,0.56354,UNSAT,5,0.56385,UNSAT,5,0.4987
6s282b15,UNSAT,20,139.3,UNSAT,18,108.63,,UNSAT,20,142.56,UNSAT,18,113.17,UNSAT,18,113.25,UNSAT,18,113.25
6s284rb1,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s286rb07843,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s286rb30297,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s288r,UNSAT,24,134.69,UNSAT,28,735.64,,UNSAT,24,156.43,UNSAT,28,792.99,UNSAT,28,796.94,UNSAT,28,795.11
6s289rb00529,SAT,6,17.919,SAT,3,15.761,,SAT,6,18.031,SAT,3,16.062,SAT,3,16.135,SAT,3,15.998
6s289rb05233,SAT,5,13.497,SAT,3,10.125,,SAT,5,13.58,SAT,3,10.244,SAT,3,10.253,SAT,3,10.235
6s28,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s290,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s291rb18,UNSAT,14,3.6207,UNSAT,76,7.9828,,UNSAT,14,3.7656,UNSAT,76,8.2327,UNSAT,76,8.1525,UNSAT,76,8.2997
6s291rb77,UNSAT,14,3.6017,UNSAT,76,7.8927,,UNSAT,14,3.6607,UNSAT,76,8.2291,UNSAT,76,8.1711,UNSAT,76,8.16
6s292rb024,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s292rb037,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s299b685,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s299b892,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s29,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s2,UNSAT,17,40.448,UNSAT,16,78.705,,UNSAT,17,41.924,UNSAT,16,90.47,UNSAT,16,88.875,UNSAT,16,89.544
6s301rb106,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s301rb527,SAT,3,118.25,SAT,3,31.824,,SAT,3,118.58,SAT,3,31.949,SAT,3,31.998,SAT,3,31.994
6s302rb09,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s305rb069,UNSAT,30,469.14,UNSAT,29,774.13,,UNSAT,30,467.66,UNSAT,29,786.28,UNSAT,29,788.76,UNSAT,29,789.22
6s305rb108,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s306rb03,UNSAT,16,104.84,UNSAT,18,235.02,,UNSAT,16,105.91,UNSAT,18,237.39,UNSAT,18,237.22,UNSAT,18,238.23
6s306rb23,UNSAT,25,54.47,UNSAT,25,32.292,,UNSAT,25,54.74,UNSAT,25,32.636,UNSAT,25,32.649,UNSAT,25,32.749
6s307rb06,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s307rb09,UNSAT,15,446.3,UNSAT,16,202.08,,UNSAT,15,454.44,UNSAT,16,204.59,UNSAT,16,205.45,UNSAT,16,205.19
6s309b034,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s309b046,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s30,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s310r,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s311rb1,SAT,4,316.13,unknown,,,,SAT,4,370,unknown,,,unknown,,,unknown,,
6s313r,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s315r,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s316b421,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s316b460,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s317b14,UNSAT,11,21.189,UNSAT,9,5.4707,,UNSAT,11,21.315,UNSAT,9,5.6932,UNSAT,9,5.6249,UNSAT,9,5.6824
6s317b18,UNSAT,9,6.6203,UNSAT,8,4.1162,,UNSAT,9,6.7147,UNSAT,8,4.2098,UNSAT,8,4.2551,UNSAT,8,4.2419
6s318r,SAT,3,0.075145,SAT,1,0.041692,,SAT,3,0.070372,SAT,1,0.039894,SAT,1,0.039371,SAT,1,0.039301
6s319r,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s31,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s320rb0,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s320rb1,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s321b1,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s321b5,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s322rb265,UNSAT,3,0.6589,UNSAT,3,5.9399,,UNSAT,3,0.66221,UNSAT,3,6.1127,UNSAT,3,6.091,UNSAT,3,6.1305
6s322rb646,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s325rb072,UNSAT,6,0.71927,UNSAT,5,0.88413,,UNSAT,6,0.8057,UNSAT,5,0.85076,UNSAT,5,0.91707,UNSAT,5,0.85245
6s325rb107,UNSAT,30,35.529,UNSAT,40,100.88,,UNSAT,30,36.582,UNSAT,40,105.33,UNSAT,40,105.91,UNSAT,40,105.42
6s326rb02,UNSAT,15,16.63,UNSAT,15,17.533,,UNSAT,15,16.885,UNSAT,15,18.094,UNSAT,15,18.082,UNSAT,15,18.001
6s326rb08,UNSAT,11,9.786,UNSAT,11,11.553,,UNSAT,11,10.091,UNSAT,11,12.008,UNSAT,11,11.907,UNSAT,11,11.867
6s327rb10,UNSAT,11,3.8625,UNSAT,11,5.3462,,UNSAT,11,3.9193,UNSAT,11,5.4589,UNSAT,11,5.4462,UNSAT,11,5.439
6s327rb19,UNSAT,3,0.15131,UNSAT,3,0.36525,,UNSAT,3,0.15423,UNSAT,3,0.37671,UNSAT,3,0.37737,UNSAT,3,0.37509
6s329rb19,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s329rb20,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s32,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s330rb06,SAT,3,7.6079,SAT,1,1.059,,SAT,3,7.6841,SAT,1,1.0683,SAT,1,1.0687,SAT,1,1.0669
6s330rb11,UNSAT,5,1.7547,UNSAT,4,2.4657,,UNSAT,5,1.7787,UNSAT,4,2.4952,UNSAT,4,2.5084,UNSAT,4,2.495
6s332rb118,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s332rb155,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s335rb09,SAT,6,0.82638,SAT,3,0.52383,,SAT,6,0.91629,SAT,3,0.61269,SAT,3,0.54341,SAT,3,0.60057
6s335rb60,SAT,6,0.34238,SAT,4,1.1808,,SAT,6,0.34815,SAT,4,1.1991,SAT,4,1.1357,SAT,4,1.2039
6s339rb19,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s339rb22,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s33,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s340rb27,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s340rb63,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s341r,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s342rb122,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s342rb131,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s343b08,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s343b31,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s344rb054,UNSAT,3,0.08131,UNSAT,3,0.63512,,UNSAT,3,0.081392,UNSAT,3,0.65254,UNSAT,3,0.65223,UNSAT,3,0.65124
6s344rb150,UNSAT,8,204.8,UNSAT,10,550.35,,UNSAT,8,206.93,UNSAT,10,558.1,UNSAT,10,557.68,UNSAT,10,557.76
6s348b24,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s348b53,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s349rb06,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s349rb12,UNSAT,16,203.22,UNSAT,15,218.24,,UNSAT,16,203.74,UNSAT,15,220.54,UNSAT,15,220.22,UNSAT,15,220.99
6s34,UNSAT,102,644.35,UNSAT,68,269.85,,UNSAT,102,687.12,UNSAT,68,287.75,UNSAT,68,287.86,UNSAT,68,288.14
6s350rb35,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s350rb46,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s351rb02,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s351rb15,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s353rb036,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s353rb101,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s355rb08740,UNSAT,3,0.093957,UNSAT,3,0.61591,,UNSAT,3,0.09437,UNSAT,3,0.6231,UNSAT,3,0.62356,UNSAT,3,0.62175
6s355rb11080,UNSAT,3,0.093607,UNSAT,3,0.6138,,UNSAT,3,0.093517,UNSAT,3,0.62218,UNSAT,3,0.62197,UNSAT,3,0.62368
6s357r,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s358r,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s359r,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s35,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s361rb52584,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s361rb54373,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s362rb0,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s362rb1,UNSAT,15,1.3226,UNSAT,15,1.3989,,UNSAT,15,1.4039,UNSAT,15,1.4132,UNSAT,15,1.435,UNSAT,15,1.4025
6s364rb03158,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s364rb12666,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s365r,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s366r,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s367r,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s36,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s372rb26,UNSAT,13,2.9526,UNSAT,13,8.3578,,UNSAT,13,2.9929,UNSAT,13,8.5938,UNSAT,13,8.6584,UNSAT,13,8.4224
