,V3s,,,V3sTem3,,,,v3s,,,V3sTem3,,,v3sTem5,,,v3sTem7,,
6s401rb086,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s402rb0342,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s402rb2219,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s403rb0609,UNSAT,9,31.492,UNSAT,9,38.227,,UNSAT,9,31.703,UNSAT,9,38.159,UNSAT,9,38.238,UNSAT,9,38.318
6s403rb1342,UNSAT,9,31.396,UNSAT,7,39.33,,UNSAT,9,31.501,UNSAT,7,39.354,UNSAT,7,39.453,UNSAT,7,39.301
6s404rb1,UNSAT,9,285.4,UNSAT,8,446.01,,UNSAT,9,287.13,UNSAT,8,448.84,UNSAT,8,450.97,UNSAT,8,451.75
6s404rb4,UNSAT,11,675.62,unknown,,,,UNSAT,11,670.76,unknown,,,unknown,,,unknown,,
6s405rb015,UNSAT,9,135.41,UNSAT,7,131.04,,UNSAT,9,135.34,UNSAT,7,132.02,UNSAT,7,131.97,UNSAT,7,131.44
6s405rb611,UNSAT,9,134.16,UNSAT,7,143.5,,UNSAT,9,134.53,UNSAT,7,144.03,UNSAT,7,144.21,UNSAT,7,144.2
6s406rb067,UNSAT,5,4.5498,UNSAT,5,6.3068,,UNSAT,5,4.57,UNSAT,5,6.3589,UNSAT,5,6.3482,UNSAT,5,6.343
6s406rb111,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s407rb034,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s407rb296,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s408rb191,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s408rb223,UNSAT,7,823.67,unknown,,,,UNSAT,7,820.73,unknown,,,unknown,,,unknown,,
6s409rb054,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s409rb131,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s40p0,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s40p1,SAT,1,0.28583,SAT,1,0.51412,,SAT,1,0.2866,SAT,1,0.52174,SAT,1,0.51602,SAT,1,0.52141
6s40p2,SAT,1,0.28646,SAT,1,0.51631,,SAT,1,0.28793,SAT,1,0.52024,SAT,1,0.52194,SAT,1,0.51924
6s410rb043,UNSAT,6,285.7,UNSAT,6,386.54,,UNSAT,6,286.34,UNSAT,6,386.63,UNSAT,6,387.19,UNSAT,6,387.15
6s410rb236,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s413b299,UNSAT,15,396.67,UNSAT,14,453.13,,UNSAT,15,403.84,UNSAT,14,460.43,UNSAT,14,460.3,UNSAT,14,464.26
6s413b398,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s416r,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s41,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s421rb050,UNSAT,6,1.2925,UNSAT,4,1.9523,,UNSAT,6,1.3923,UNSAT,4,1.9052,UNSAT,4,2.002,UNSAT,4,1.9749
6s421rb083,UNSAT,6,1.2888,UNSAT,6,1.9923,,UNSAT,6,1.3099,UNSAT,6,2.161,UNSAT,6,2.1452,UNSAT,6,2.1373
6s428rb093,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s428rb098,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s42,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s43,UNSAT,20,142.07,UNSAT,19,99.044,,UNSAT,20,145.7,UNSAT,19,102.18,UNSAT,19,102.6,UNSAT,19,102.4
6s44,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s45,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s46,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s47,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s48p0,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s48p1,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s49,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s4,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s50,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s514r,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s515rb1,UNSAT,6,0.056178,UNSAT,4,0.10208,,UNSAT,6,0.052965,UNSAT,4,0.10347,UNSAT,4,0.10327,UNSAT,4,0.076877
6s516r,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s517rb0,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s51,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s52,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s53,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s54,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s5,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s6,UNSAT,24,73.164,UNSAT,23,106.8,,UNSAT,24,76.034,UNSAT,23,110.78,UNSAT,23,111.18,UNSAT,23,110.8
6s7,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s8,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s9,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
abp4p2ff,SAT,17,3.5607,SAT,16,6.9457,,SAT,17,3.5491,SAT,16,7.2247,SAT,16,7.222,SAT,16,6.9873
abp4p2tt,SAT,18,4.9498,SAT,16,5.8939,,SAT,18,5.1675,SAT,16,6.0814,SAT,16,5.8096,SAT,16,5.9097
abp4pold,SAT,17,3.7577,SAT,14,3.3965,,SAT,17,3.806,SAT,14,3.4977,SAT,14,3.4836,SAT,14,3.5275
abp4ptimo,SAT,19,5.6747,SAT,17,6.9087,,SAT,19,5.7372,SAT,17,7.0472,SAT,17,7.0265,SAT,17,7.1257
abp4ptimoneg,SAT,19,5.6525,SAT,17,8.8059,,SAT,19,5.7266,SAT,17,8.9856,SAT,17,9.0401,SAT,17,8.8896
bc57sensorsp0,SAT,62,160.43,SAT,54,320.83,,SAT,62,166.61,SAT,54,331.56,SAT,54,332.23,SAT,54,330.8
bc57sensorsp0neg,SAT,79,792.83,SAT,65,696.86,,SAT,79,826.75,SAT,65,728.53,SAT,65,736.87,SAT,65,736.69
bc57sensorsp1,unknown,,,SAT,63,216.32,,unknown,,,SAT,63,220.59,SAT,63,220.4,SAT,63,220.34
bc57sensorsp1neg,SAT,88,719.18,SAT,63,217.82,,SAT,88,724.89,SAT,63,221.73,SAT,63,222.72,SAT,63,222.15
bc57sensorsp2,SAT,71,817.39,unknown,,,,SAT,71,864.09,unknown,,,unknown,,,unknown,,
bc57sensorsp2neg,SAT,54,431.97,SAT,67,322.59,,SAT,54,448.86,SAT,67,331.12,SAT,67,334.36,SAT,67,335.53
bc57sensorsp3,SAT,78,512.17,SAT,80,419,,SAT,78,532.28,SAT,80,430.23,SAT,80,436.09,SAT,80,435.77
beemadd3b1,SAT,8,81.4,SAT,7,7.2316,,SAT,8,86.269,SAT,7,7.3733,SAT,7,7.4632,SAT,7,7.3754
beemadd4b1,unknown,,,SAT,7,455.84,,unknown,,,SAT,7,503.45,SAT,7,507.61,SAT,7,511.56
beemandrsn4b1,UNSAT,16,691.61,unknown,,,,UNSAT,16,732.23,unknown,,,unknown,,,unknown,,
beemandrsn6b1,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
beemandrsn7f1,SAT,10,877.1,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
beemat1b1,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
beemat1f1,unknown,,,UNSAT,31,218.41,,unknown,,,UNSAT,31,226.46,UNSAT,31,226.29,UNSAT,31,227.4
beemat4f1,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
beembkry1b1,UNSAT,20,20.192,UNSAT,11,19.656,,UNSAT,20,20.646,UNSAT,11,20.531,UNSAT,11,20.381,UNSAT,11,20.398
beembkry5b1,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
beembkry7f1,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
beemblks2b1,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
beemblks3f1,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
beembrdg2f1,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
beembrdg3b1,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
beembrdg3f1,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
beembrp1f1,UNSAT,105,322.62,UNSAT,100,429.56,,UNSAT,105,327.64,UNSAT,100,449.09,UNSAT,100,449.02,UNSAT,100,448.77
beembrptwo1b2,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
beembrptwo1f2,UNSAT,59,47.487,UNSAT,37,88.732,,UNSAT,59,48.477,UNSAT,37,91.758,UNSAT,37,91.226,UNSAT,37,91.788
beembrptwo4b1,SAT,33,57.185,SAT,46,126.49,,SAT,33,58.239,SAT,46,130.42,SAT,46,129.88,SAT,46,129.8
beembrptwo5f2,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
beemcmbrdg1b1,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
beemcmbrdg1f1,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
beemcoll1b1,UNSAT,14,40.809,UNSAT,13,46.018,,UNSAT,14,44.893,UNSAT,13,55.821,UNSAT,13,56.659,UNSAT,13,56.743
beemcoll3b1,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
beemcoll4b1,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
beemexit5f1,UNSAT,20,40.559,UNSAT,20,50.123,,UNSAT,20,42.001,UNSAT,20,53.783,UNSAT,20,52.973,UNSAT,20,53.339
beemextnc1b1,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
beemextnc3b1,SAT,7,211.4,unknown,,,,SAT,7,215.89,unknown,,,unknown,,,unknown,,
beemfish4f1,UNSAT,14,19.795,UNSAT,23,39.269,,UNSAT,14,20.394,UNSAT,23,41.553,UNSAT,23,40.95,UNSAT,23,40.013
beemfish6b1,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
beemfrogs1b1,SAT,10,894.86,SAT,9,486.1,,unknown,,,SAT,9,548.21,SAT,9,551.03,SAT,9,555.96
beemfrogs1f1,SAT,16,371.43,SAT,17,151.43,,SAT,16,389.87,SAT,17,156.48,SAT,17,156.81,SAT,17,158
beemfwt1b1,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
beemfwt1f1,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
beemfwt5f2,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
beemgear1f1,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
beemgear2b1,SAT,8,4.1007,SAT,17,12.2,,SAT,8,4.1955,SAT,17,12.678,SAT,17,12.736,SAT,17,12.651
beemgear2f1,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
beemhanoi1b1,SAT,7,244.69,unknown,,,,SAT,7,243.53,unknown,,,unknown,,,unknown,,
beemhanoi1f1,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
beemkrebs3b1,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
beemkrebs3f1,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
beemkrebs4b1,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
beemlann2b1,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
beemlann2f1,UNSAT,48,854.03,UNSAT,37,57.663,,UNSAT,48,826.62,UNSAT,37,55.73,UNSAT,37,54.951,UNSAT,37,54.117
beemlann4b1,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
beemldelec1b1,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
beemldelec4b1,SAT,5,146.84,SAT,3,66.043,,SAT,5,147.53,SAT,3,67.786,SAT,3,66.496,SAT,3,64.167
beemldfilt1f1,UNSAT,117,886.01,unknown,,,,UNSAT,117,834.75,unknown,,,unknown,,,unknown,,
beemldfilt3b1,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
beemldfilt4b1,unknown,,,unknown,,,,UNSAT,18,879.02,unknown,,,unknown,,,unknown,,
beemldfilt5b1,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
beemlifts2b1,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
beemlifts3b1,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
beemlifts8b1,SAT,6,60.44,SAT,4,331.32,,SAT,6,64.062,SAT,4,339.45,SAT,4,342.39,SAT,4,348.8
beemlmprt1b1,UNSAT,19,143.53,UNSAT,19,148.04,,UNSAT,19,144.45,UNSAT,19,142.51,UNSAT,19,141.99,UNSAT,19,141.16
beemlmprt5b1,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
beemlmprt5f1,UNSAT,24,11.387,UNSAT,18,9.7789,,UNSAT,24,11.376,UNSAT,18,9.7029,UNSAT,18,9.5754,UNSAT,18,9.6408
beemlmprt7b1,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
beemloyd2b1,SAT,8,10.35,SAT,6,10.613,,SAT,8,10.471,SAT,6,11.094,SAT,6,11.008,SAT,6,10.97
beemloyd3b1,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
beemlptna5f1,UNSAT,23,51.331,UNSAT,20,104.39,,UNSAT,23,51.783,UNSAT,20,105.54,UNSAT,20,105.09,UNSAT,20,104.78
beemmcs1f1,UNSAT,31,12.99,UNSAT,14,3.8922,,UNSAT,31,13.234,UNSAT,14,4.0744,UNSAT,14,3.8934,UNSAT,14,4.0942
beemmcs3b1,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
beemmcs4b1,UNSAT,16,469.28,UNSAT,16,745.04,,UNSAT,16,453.65,UNSAT,16,727.48,UNSAT,16,731.7,UNSAT,16,736.09
beemmsmie1b1,UNSAT,13,175.13,UNSAT,13,168.92,,UNSAT,13,172.54,UNSAT,13,169.42,UNSAT,13,169.58,UNSAT,13,169.24
beemmsmie3b1,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
beemmsmie3f1,UNSAT,17,769.76,unknown,,,,UNSAT,17,754.03,unknown,,,unknown,,,unknown,,
beemndhm2b2,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
beemndhm2f2,UNSAT,11,52.39,UNSAT,12,104.11,,UNSAT,11,53.393,UNSAT,12,98.485,UNSAT,12,99.095,UNSAT,12,100.14
beemndhm3b2,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
beempgmprot1b1,UNSAT,17,35.07,UNSAT,17,84.268,,UNSAT,17,36.673,UNSAT,17,80.62,UNSAT,17,80.808,UNSAT,17,80.825
beempgmprot1b2,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
beempgmprot7b1,UNSAT,15,287.57,UNSAT,29,641.41,,UNSAT,15,250.91,UNSAT,29,601.65,UNSAT,29,620.17,UNSAT,29,615.86
beempgsol2b1,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
beempgsol5b1,SAT,4,92.318,unknown,,,,SAT,4,87.266,unknown,,,unknown,,,unknown,,
beemplc1b2,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
beemprdcell2f1,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
beemprng1b1,SAT,3,159.82,SAT,3,123.02,,SAT,3,144.14,SAT,3,137.78,SAT,3,135.16,SAT,3,131.36
beemptrsn1b1,UNSAT,14,103.7,UNSAT,14,97.972,,UNSAT,14,98.967,UNSAT,14,98.691,UNSAT,14,98.301,UNSAT,14,98.189
beemptrsn4b1,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
beemptrsn7b1,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
beemptrsn7f1,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
beemrether3b1,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
beemrether4f1,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
beemrether6b1,SAT,10,7.1083,SAT,11,113.01,,SAT,10,7.1193,SAT,11,107.45,SAT,11,110.96,SAT,11,112.22
beemrshr2b1,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
beemrshr2f1,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
beemrshr3b1,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
beemskbn1f1,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
beemskbn2b1,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
beemskbn2f1,unknown,,,unknown,,,,unknown,,,SAT,38,884,SAT,38,890.02,SAT,38,894.8
beemsnpse4f1,UNSAT,18,44.261,UNSAT,18,69.924,,UNSAT,18,44.238,UNSAT,18,58.11,UNSAT,18,62.233,UNSAT,18,65.27
beemsnpse7b1,unknown,,,unknown,,,,UNSAT,33,811.2,unknown,,,unknown,,,unknown,,
beemszmsk1b1,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
beemszmsk1f1,UNSAT,51,582.68,UNSAT,40,340.49,,UNSAT,51,571.86,UNSAT,40,320.63,UNSAT,40,325.05,UNSAT,40,324.54
beemtlphn4b1,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
beemtlphn5f1,UNSAT,20,232.2,UNSAT,14,120.5,,UNSAT,20,224.8,UNSAT,14,111.8,UNSAT,14,108.48,UNSAT,14,107.48
beemtrngt2b1,UNSAT,31,52.784,unknown,,,,UNSAT,31,52.187,unknown,,,unknown,,,unknown,,
beemtrngt3f1,SAT,30,394.37,SAT,27,202.68,,SAT,30,387.53,SAT,27,196.26,SAT,27,196.42,SAT,27,195.33
beemtrngt4b1,UNSAT,27,116.28,UNSAT,19,276.81,,UNSAT,27,114.82,UNSAT,19,259.51,UNSAT,19,261.21,UNSAT,19,261.89
beemtrngt5f1,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
bj08amba2g3f3,UNSAT,12,0.6519,UNSAT,11,0.87246,,UNSAT,12,0.63733,UNSAT,11,0.86127,UNSAT,11,0.87189,UNSAT,11,0.87068
bjrb07amba10andenv,UNSAT,13,334.04,UNSAT,10,390.31,,UNSAT,13,290.96,UNSAT,10,396.36,UNSAT,10,405.21,UNSAT,10,395.18
bjrb07amba3andenv,UNSAT,9,5.5038,UNSAT,9,5.3838,,UNSAT,9,5.2895,UNSAT,9,5.5042,UNSAT,9,5.4522,UNSAT,9,5.3151
bjrb07amba4andenv,UNSAT,8,8.0932,UNSAT,9,13.544,,UNSAT,8,7.6714,UNSAT,9,14.245,UNSAT,9,14.121,UNSAT,9,13.585
bjrb07amba5andenv,UNSAT,9,20.863,UNSAT,11,32.617,,UNSAT,9,19.021,UNSAT,11,34.141,UNSAT,11,33.057,UNSAT,11,33.002
bjrb07amba6andenv,UNSAT,9,59.693,UNSAT,9,70.796,,UNSAT,9,50.932,UNSAT,9,71.82,UNSAT,9,71.308,UNSAT,9,71.104
bjrb07amba7andenv,UNSAT,11,30.417,UNSAT,12,40.198,,UNSAT,11,26.578,UNSAT,12,40.442,UNSAT,12,41.145,UNSAT,12,40.943
bjrb07amba9andenv,UNSAT,11,170.9,UNSAT,9,157.44,,UNSAT,11,138.03,UNSAT,9,159.8,UNSAT,9,160.15,UNSAT,9,158.33
bob05,UNSAT,23,196.31,UNSAT,35,80.971,,UNSAT,23,190.97,UNSAT,35,81.531,UNSAT,35,79.427,UNSAT,35,79.013
bob12s01,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
bob12s02,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
bob12s03,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
bob12s04,unknown,,,SAT,1,51.56,,unknown,,,SAT,1,51.09,SAT,1,50.331,SAT,1,51.177
bob12s05,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
bob12s06,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
bob12s07,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
bob12s08,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
bob12s09,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
bob12s10,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
bob1u05cu,UNSAT,18,91.045,UNSAT,15,91.643,,UNSAT,18,91.004,UNSAT,15,90.103,UNSAT,15,90.125,UNSAT,15,90.201
bob3,UNSAT,23,13.394,UNSAT,23,13.446,,UNSAT,23,13.32,UNSAT,23,13.146,UNSAT,23,13.03,UNSAT,23,13.186
bob9234redmiter,SAT,296,541.33,unknown,,,,SAT,296,528.08,unknown,,,unknown,,,unknown,,
bob9234spec4neg,SAT,553,33.999,SAT,553,57.568,,SAT,553,33.915,SAT,553,55.041,SAT,553,54.694,SAT,553,54.636
bob9234spec5neg,SAT,284,67.568,SAT,292,134.5,,SAT,284,66.952,SAT,292,121,SAT,292,121.01,SAT,292,121.24
bob9234spec6neg,SAT,273,105,SAT,290,94.929,,SAT,273,103.74,SAT,290,91.361,SAT,290,90.913,SAT,290,91.297
bob9234spec7neg,SAT,287,13.123,SAT,287,21.665,,SAT,287,13.066,SAT,287,21.164,SAT,287,21.114,SAT,287,21.127
bobaesdinvdmit,UNSAT,20,434.66,UNSAT,18,570.03,,UNSAT,20,415.09,UNSAT,18,539.98,UNSAT,18,541.29,UNSAT,18,538.18
bobcohdoptdcd4,UNSAT,17,86.608,UNSAT,15,124.96,,UNSAT,17,81.12,UNSAT,15,120.14,UNSAT,15,120.06,UNSAT,15,119.53
boblivea,UNSAT,18,8.0363,UNSAT,19,10.137,,UNSAT,18,8.0208,UNSAT,19,10.033,UNSAT,19,10.051,UNSAT,19,10.105
boblivear,UNSAT,21,74.919,UNSAT,21,76.488,,UNSAT,21,73.595,UNSAT,21,73.882,UNSAT,21,72.629,UNSAT,21,73.602
bobmiterbm1or,SAT,1,0.012839,SAT,1,0.030834,,SAT,1,0.012113,SAT,1,0.030867,SAT,1,0.031016,SAT,1,0.025855
bobmitersynbm,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
bobpci215,SAT,8,4.619,SAT,8,10.626,,SAT,8,4.4785,SAT,8,10.258,SAT,8,10.247,SAT,8,10.168
bobpcihm,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
bobsm38584,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
bobsm5378d2,UNSAT,27,11.229,UNSAT,30,15.173,,UNSAT,27,10.929,UNSAT,30,15.031,UNSAT,30,14.896,UNSAT,30,14.724
bobsm9234,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
bobsmcodic,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
bobsmdct,UNSAT,13,3.238,UNSAT,13,3.2689,,UNSAT,13,3.1921,UNSAT,13,3.2911,UNSAT,13,3.2537,UNSAT,13,3.0787
bobsmfpu,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
bobsmhdlc1,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
bobsmhdlc2,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
bobsmhdlc3,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
bobsmhdlc,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
bobsmi2c,UNSAT,56,68.25,UNSAT,56,67.917,,UNSAT,56,68.474,UNSAT,56,69.255,UNSAT,56,68.154,UNSAT,56,67.904
bobsmmem,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
bobsmminiuart,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
bobsmmips,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
bobsmnut1,UNSAT,86,103.62,UNSAT,84,193.38,,UNSAT,86,102.11,UNSAT,84,186.2,UNSAT,84,184.57,UNSAT,84,184.64
bobsmnut2,UNSAT,57,2.6046,UNSAT,62,3.7823,,UNSAT,57,2.7532,UNSAT,62,3.556,UNSAT,62,3.5632,UNSAT,62,3.5083
bobsmoci,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
bobsmrisc,UNSAT,19,545.41,UNSAT,21,598.67,,UNSAT,19,576.56,UNSAT,21,616.5,UNSAT,21,612.31,UNSAT,21,617.48
bobsmvhd3,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
bobsynth00neg,SAT,1,0.12992,SAT,1,0.22587,,SAT,1,0.11106,SAT,1,0.22763,SAT,1,0.24369,SAT,1,0.24364
bobsynth01neg,UNSAT,7,2.0101,UNSAT,9,2.7229,,UNSAT,7,1.9618,UNSAT,9,2.7345,UNSAT,9,2.7411,UNSAT,9,2.7336
bobsynth04neg,SAT,3,0.31604,SAT,1,0.23126,,SAT,3,0.28516,SAT,1,0.21516,SAT,1,0.23339,SAT,1,0.21377
bobsynth06neg,SAT,20,296.3,SAT,20,514.93,,SAT,20,294.96,SAT,20,512.31,SAT,20,513.07,SAT,20,511.88
bobsynth07neg,SAT,15,94.11,SAT,21,285.52,,SAT,15,92.689,SAT,21,284.62,SAT,21,283.52,SAT,21,283.43
bobsynth08neg,SAT,18,460.09,unknown,,,,SAT,18,453.58,unknown,,,unknown,,,unknown,,
bobsynth09neg,UNSAT,6,1.6515,UNSAT,6,2.6515,,UNSAT,6,1.658,UNSAT,6,2.6208,UNSAT,6,2.6249,UNSAT,6,2.6184
bobsynth11neg,SAT,14,53.11,SAT,11,23.286,,SAT,14,52.525,SAT,11,23.187,SAT,11,23.387,SAT,11,23.139
bobsynth12neg,SAT,12,58.843,SAT,12,35.01,,SAT,12,58.621,SAT,12,34.818,SAT,12,34.921,SAT,12,34.782
bobsynth13neg,SAT,17,126.13,SAT,16,147.55,,SAT,17,125.71,SAT,16,144.01,SAT,16,145.55,SAT,16,144.61
bobsynthetic2,SAT,5,578.55,SAT,3,639.43,,SAT,5,599.35,SAT,3,573.12,SAT,3,573.3,SAT,3,579.79
bobsynthetic,SAT,5,46.137,SAT,3,44.609,,SAT,5,46.481,SAT,3,45.625,SAT,3,46,SAT,3,46.411
