6s210b037,SAT,6,0.19361,SAT,6,0.11957,SAT,4,0.1494,SAT,4,0.1317,SAT,4,0.1276,SAT,3,0.16261,SAT,9,at
6s210b105,SAT,6,0.11595,SAT,6,0.13186,SAT,4,0.1074,SAT,4,0.18974,SAT,4,0.1283,SAT,3,0.23774,SAT,9,at
6s215rb0,SAT,9,4.7496,SAT,7,3.4769,SAT,7,2.6098,SAT,4,0.53051,SAT,4,1.5782,SAT,3,0.55997,SAT,9,at
6s216rb0,SAT,12,3.9584,SAT,11,5.0658,SAT,11,24.154,SAT,12,40.509,SAT,9,7.5609,SAT,5,2.9323,SAT,5,10.036
6s218b1246,timeout,,,timeout,,,SAT,9,481.78,SAT,8,558.57,SAT,7,687.96,SAT,5,504.81,SAT,3,102.28
6s218b2950,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,
6s21,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,
6s221rb14,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,
6s221rb18,UNSAT,3,7.8982,UNSAT,3,8.6074,UNSAT,3,9.2629,UNSAT,3,10.172,UNSAT,3,11.278,UNSAT,3,13.965,UNSAT,3,17.677
6s22,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,
6s23,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,
6s24,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,
6s25,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,
6s266rb2,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,
6s267rb3,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,
6s268r,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,
6s269r,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,
6s26,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,
6s270b1,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,
6s271rb045,UNSAT,8,120.21,UNSAT,8,107.32,UNSAT,8,109.8,UNSAT,8,111.22,UNSAT,8,111.09,UNSAT,8,115.71,UNSAT,5,42.18
6s271rb079,UNSAT,8,28.04,UNSAT,8,28.064,UNSAT,8,28.795,UNSAT,7,27.482,UNSAT,7,28.019,UNSAT,7,29.744,UNSAT,5,22.428
6s273b11,UNSAT,21,270.43,UNSAT,20,222.9,UNSAT,18,226.7,UNSAT,15,159.32,UNSAT,21,354.59,UNSAT,13,127.38,UNSAT,15,214.35
6s273b37,UNSAT,18,178.48,UNSAT,17,132.9,UNSAT,16,85.602,UNSAT,17,140.87,UNSAT,14,121.19,UNSAT,15,120.64,UNSAT,11,71.555
6s274r,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,
6s275rb253,UNSAT,6,6.1874,UNSAT,5,6.1788,UNSAT,4,6.6466,UNSAT,4,9.1826,UNSAT,4,8.3897,UNSAT,4,10.478,UNSAT,4,12.276
6s275rb318,UNSAT,6,6.1594,UNSAT,5,6.2706,UNSAT,4,6.5946,UNSAT,4,9.2405,UNSAT,4,8.2599,UNSAT,4,10.462,UNSAT,4,12.292
6s276rb318,UNSAT,12,7.8125,UNSAT,11,7.9732,UNSAT,10,8.0481,UNSAT,9,8.8119,UNSAT,10,11.333,UNSAT,10,15.645,UNSAT,10,17.905
6s276rb342,UNSAT,12,6.5893,UNSAT,11,6.5539,UNSAT,10,6.7676,UNSAT,9,7.169,UNSAT,8,7.3941,UNSAT,10,12.906,UNSAT,11,13.314
