beemfish4f1,UNSAT,14,12.84,UNSAT,31,58.771,UNSAT,23,29.591,UNSAT,18,70.707,UNSAT,18,47.977,UNSAT,11,80.831,UNSAT,20,135.05
beemfish6b1,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,
beemfrogs1b1,timeout,,,SAT,8,762.82,SAT,9,550.29,timeout,,,timeout,,,timeout,,,timeout,,
beemfrogs1f1,SAT,16,382.01,SAT,15,373.59,SAT,17,138.93,SAT,15,890.52,SAT,11,57.352,timeout,,,timeout,,
beemfwt1b1,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,
beemfwt1f1,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,
beemfwt5f2,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,
beemgear1f1,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,
beemgear2b1,SAT,8,1.9277,SAT,26,6.0294,SAT,17,8.1708,SAT,16,9.941,SAT,16,12.4,SAT,8,10.529,SAT,16,25.346
beemgear2f1,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,
beemhanoi1b1,SAT,7,246.36,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,
beemhanoi1f1,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,
beemkrebs3b1,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,SAT,29,866.83,timeout,,
beemkrebs3f1,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,
beemkrebs4b1,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,
beemlann2b1,timeout,,,UNSAT,21,833.58,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,
beemlann2f1,UNSAT,48,696.05,UNSAT,31,7.7025,UNSAT,37,41.136,UNSAT,32,28.483,UNSAT,30,22.624,UNSAT,54,159.47,UNSAT,29,21.114
beemlann4b1,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,
beemldelec1b1,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,
beemldelec4b1,SAT,5,160.71,SAT,4,251.06,SAT,3,62.629,SAT,3,176.37,SAT,3,615.34,timeout,,,timeout,,
beemldfilt1f1,UNSAT,117,845.59,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,
beemldfilt3b1,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,
beemldfilt4b1,UNSAT,18,844.2,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,
beemldfilt5b1,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,
beemlifts2b1,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,
beemlifts3b1,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,
beemlifts8b1,SAT,6,61.039,SAT,5,204.93,SAT,4,333.12,SAT,3,736.53,timeout,,,timeout,,,timeout,,
beemlmprt1b1,UNSAT,21,104.15,UNSAT,15,81.956,UNSAT,19,129.5,UNSAT,15,152.11,UNSAT,14,190.48,UNSAT,13,481.48,timeout,,
beemlmprt5b1,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,
beemlmprt5f1,UNSAT,24,7.9362,UNSAT,23,7.885,UNSAT,18,6.8359,UNSAT,23,13.375,UNSAT,24,23.829,UNSAT,21,18.62,UNSAT,22,47.528
beemlmprt7b1,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,
beemloyd2b1,SAT,8,8.7988,SAT,6,20.123,SAT,6,10.145,SAT,5,14.499,SAT,4,45.996,SAT,4,17.744,SAT,4,21.947
beemloyd3b1,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,
beemlptna5f1,UNSAT,23,40.004,UNSAT,22,38.817,UNSAT,20,97.049,UNSAT,20,123.37,UNSAT,22,262.08,UNSAT,19,361.33,UNSAT,20,462.48
beemmcs1f1,UNSAT,31,9.9895,UNSAT,14,2.5673,UNSAT,14,2.983,UNSAT,11,1.9831,UNSAT,35,43.725,UNSAT,28,31.183,UNSAT,19,29.646
beemmcs3b1,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,
beemmcs4b1,UNSAT,16,410.9,UNSAT,13,431.71,UNSAT,16,697.54,UNSAT,15,880.93,timeout,,,timeout,,,timeout,,
beemmsmie1b1,UNSAT,16,73.436,UNSAT,10,60.15,UNSAT,13,162.22,UNSAT,7,140.16,UNSAT,7,245.59,UNSAT,8,668.47,timeout,,
beemmsmie3b1,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,
beemmsmie3f1,UNSAT,17,676.16,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,
beemndhm2b2,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,
beemndhm2f2,UNSAT,11,43.792,UNSAT,10,33.034,UNSAT,12,85.823,UNSAT,10,108.65,UNSAT,9,151.52,UNSAT,10,232.59,UNSAT,8,268.67
beemndhm3b2,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,
beempgmprot1b1,UNSAT,17,31.857,UNSAT,21,80.109,UNSAT,17,71.521,UNSAT,21,128.43,UNSAT,17,146.14,UNSAT,17,330.4,UNSAT,17,341.15
beempgmprot1b2,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,
beempgmprot7b1,UNSAT,15,269.07,timeout,,,UNSAT,29,599.65,UNSAT,15,276.05,UNSAT,15,577.11,timeout,,,timeout,,
beempgsol2b1,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,
beempgsol5b1,SAT,4,98.396,SAT,3,68.349,timeout,,,SAT,5,at,SAT,5,at,SAT,5,at,SAT,5,at
beemplc1b2,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,
beemprdcell2f1,SAT,20,33.23,timeout,,,timeout,,,timeout,,,SAT,38,600.62,timeout,,,timeout,,
beemprng1b1,SAT,4,4.4638,SAT,3,6.2853,SAT,3,165.3,SAT,5,at,SAT,5,at,SAT,5,at,SAT,5,at
beemptrsn1b1,UNSAT,20,96.925,UNSAT,14,77.691,UNSAT,14,91.966,UNSAT,19,155.35,UNSAT,16,161.41,UNSAT,18,601.1,timeout,,
beemptrsn4b1,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,
beemptrsn7b1,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,
beemptrsn7f1,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,
beemrether3b1,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,
beemrether4f1,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,
beemrether6b1,SAT,10,5.4357,timeout,,,SAT,11,111.36,SAT,8,141.93,SAT,8,71.597,SAT,10,370.25,SAT,8,279.83
beemrshr2b1,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,
beemrshr2f1,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,
beemrshr3b1,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,
beemskbn1f1,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,
beemskbn2b1,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,
beemskbn2f1,timeout,,,timeout,,,SAT,38,789.74,timeout,,,timeout,,,timeout,,,timeout,,
beemsnpse4f1,UNSAT,18,27.301,UNSAT,24,34.544,UNSAT,18,57.761,UNSAT,20,79.811,UNSAT,17,152.16,UNSAT,14,250.83,UNSAT,26,539.58
beemsnpse7b1,UNSAT,33,888.49,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,
beemszmsk1b1,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,
beemszmsk1f1,UNSAT,51,481.85,UNSAT,35,166.33,UNSAT,40,256.02,UNSAT,35,136.25,UNSAT,42,237.84,UNSAT,47,569.65,UNSAT,34,334.84
beemtlphn4b1,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,
beemtlphn5f1,UNSAT,20,205,UNSAT,21,124.55,UNSAT,14,101.34,UNSAT,18,205.91,UNSAT,17,326.35,UNSAT,24,500.82,UNSAT,19,586.73
beemtrngt2b1,UNSAT,31,36.569,UNSAT,20,27.829,UNSAT,58,821.12,UNSAT,14,39.075,UNSAT,17,19.999,UNSAT,17,78.079,UNSAT,16,56.347
beemtrngt3f1,SAT,30,311.37,timeout,,,SAT,27,139.48,timeout,,,timeout,,,SAT,32,591.8,SAT,29,115.15
beemtrngt4b1,UNSAT,27,88.17,UNSAT,24,273.02,UNSAT,19,231.92,UNSAT,15,174.33,timeout,,,UNSAT,20,461.44,UNSAT,18,763.69
beemtrngt5f1,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,
bj08amba2g3f3,UNSAT,12,0.42431,UNSAT,12,0.36715,UNSAT,11,0.51304,UNSAT,10,0.59992,UNSAT,9,0.69031,UNSAT,8,0.88756,UNSAT,6,1.4397
bjrb07amba10andenv,UNSAT,13,383.81,UNSAT,10,601.94,UNSAT,10,363.88,UNSAT,11,441.13,UNSAT,11,661.22,UNSAT,12,866.61,UNSAT,9,749.84
bjrb07amba3andenv,UNSAT,11,3.8705,UNSAT,10,3.5661,UNSAT,9,3.5627,UNSAT,10,4.4245,UNSAT,7,5.5703,UNSAT,7,9.958,UNSAT,6,16.048
bjrb07amba4andenv,UNSAT,8,7.0211,UNSAT,9,10.129,UNSAT,9,11.447,UNSAT,8,9.5731,UNSAT,7,15.448,UNSAT,7,28.457,UNSAT,7,44.817
bjrb07amba5andenv,UNSAT,9,17.979,UNSAT,9,18.948,UNSAT,11,26.045,UNSAT,9,20.662,UNSAT,8,26.519,UNSAT,11,78.482,UNSAT,6,91.807
bjrb07amba6andenv,UNSAT,9,59.678,UNSAT,9,63.891,UNSAT,9,60.99,UNSAT,8,71.313,UNSAT,8,66.97,UNSAT,8,108.59,UNSAT,9,181.66
bjrb07amba7andenv,UNSAT,11,26.985,UNSAT,11,30.138,UNSAT,12,32.095,UNSAT,10,48.021,UNSAT,9,57.891,UNSAT,8,85.402,UNSAT,9,144.11
bjrb07amba9andenv,UNSAT,11,172.56,UNSAT,9,154.84,UNSAT,9,128.96,UNSAT,13,251.98,UNSAT,12,277.44,UNSAT,10,439.3,UNSAT,10,528.84
bob05,UNSAT,23,118.12,timeout,,,UNSAT,35,41.347,UNSAT,22,145.77,timeout,,,timeout,,,timeout,,
bob12s01,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,
bob12s02,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,
bob12s03,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,
