6s194,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,
6s195,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,
6s196,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,
6s197,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,
6s198,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,
6s199,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,
6s19,timeout,,,UNSAT,7,60.834,UNSAT,8,106.92,UNSAT,11,892.92,UNSAT,10,845.39,timeout,,,timeout,,
6s1,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,
6s202b00,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,
6s202b41,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,
6s203b19,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,
6s203b41,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,
6s204b16,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,
6s204b19,timeout,,,timeout,,,timeout,,,timeout,,,UNSAT,14,768.51,timeout,,,timeout,,
6s205b16,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,
6s205b20,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,
6s206rb025,UNSAT,5,31.548,UNSAT,5,32.025,UNSAT,5,32.422,UNSAT,5,32.817,UNSAT,5,33.614,UNSAT,5,34.485,UNSAT,5,35.834
6s206rb103,UNSAT,11,57.838,UNSAT,11,58.586,UNSAT,11,58.913,UNSAT,11,59.368,UNSAT,11,59.93,UNSAT,11,61.302,UNSAT,11,62.843
6s207rb16,timeout,,,timeout,,,timeout,,,SAT,6,81.972,SAT,6,815.26,SAT,4,42.84,SAT,10,at
6s207rb28,timeout,,,SAT,5,73.602,SAT,5,67.883,SAT,5,62.159,SAT,4,37.577,SAT,8,at,SAT,8,at
6s209b0,UNSAT,7,12.036,UNSAT,6,8.7578,UNSAT,7,9.7904,UNSAT,7,9.6971,UNSAT,7,9.9572,UNSAT,7,10.52,UNSAT,7,11.293
6s209b1,timeout,,,UNSAT,18,864.27,UNSAT,15,509.93,UNSAT,22,714.97,UNSAT,17,821.25,UNSAT,17,457.64,timeout,,
6s20,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,
6s210b037,SAT,6,0.19755,SAT,6,0.12047,SAT,4,0.23767,SAT,4,0.13149,SAT,4,0.20668,SAT,3,0.17073,SAT,9,at
6s210b105,SAT,6,0.11864,SAT,6,0.18495,SAT,4,0.16388,SAT,4,0.19969,SAT,4,0.18144,SAT,3,0.24344,SAT,9,at
6s215rb0,SAT,9,4.9158,SAT,7,1.8708,SAT,7,11.412,SAT,6,2.7134,SAT,4,1.4446,SAT,3,0.55825,SAT,9,at
6s216rb0,SAT,12,3.8094,SAT,13,10.038,SAT,11,17.961,SAT,10,4.9977,SAT,10,23.728,SAT,5,11.696,SAT,5,1.8608
6s218b1246,timeout,,,SAT,10,632.06,SAT,9,461.68,SAT,8,436.63,SAT,7,661.89,SAT,5,508.44,SAT,3,102.95
6s218b2950,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,
6s21,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,
6s221rb14,timeout,,,UNSAT,7,634.03,timeout,,,UNSAT,8,813.33,UNSAT,7,704.88,UNSAT,7,715.6,UNSAT,7,742.28
6s221rb18,UNSAT,3,8.0328,UNSAT,3,8.7326,UNSAT,3,9.4902,UNSAT,3,10.353,UNSAT,3,11.429,UNSAT,3,14.068,UNSAT,3,17.742
6s22,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,
6s23,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,
6s24,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,
6s25,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,
6s266rb2,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,
6s267rb3,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,
6s268r,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,
6s269r,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,
6s26,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,
6s270b1,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,
6s271rb045,UNSAT,8,120.39,UNSAT,8,107.28,UNSAT,8,111.45,UNSAT,8,110.22,UNSAT,8,115.71,UNSAT,8,124.44,UNSAT,5,47.384
6s271rb079,UNSAT,8,28.195,UNSAT,8,28.084,UNSAT,8,29.061,UNSAT,7,27.591,UNSAT,7,28.175,UNSAT,7,30.161,UNSAT,5,27.203
6s273b11,UNSAT,21,271.68,UNSAT,24,277.22,UNSAT,17,137.09,UNSAT,15,154.74,UNSAT,14,143.56,UNSAT,16,253.74,UNSAT,20,422.98
6s273b37,UNSAT,18,178.06,UNSAT,17,146.22,UNSAT,16,93.456,UNSAT,15,103.77,UNSAT,19,157.95,UNSAT,13,116.62,UNSAT,11,72.533
6s274r,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,
6s275rb253,UNSAT,6,6.2201,UNSAT,5,6.0808,UNSAT,4,6.9671,UNSAT,4,9.2264,UNSAT,4,8.3994,UNSAT,4,11.767,UNSAT,4,13.968
6s275rb318,UNSAT,6,6.3772,UNSAT,5,6.1859,UNSAT,4,6.7302,UNSAT,4,9.1637,UNSAT,4,8.2312,UNSAT,4,11.908,UNSAT,4,13.901
6s276rb318,UNSAT,12,8.0695,UNSAT,11,7.802,UNSAT,10,8.0888,UNSAT,9,8.5552,UNSAT,8,8.8753,UNSAT,4,9.8756,UNSAT,4,11.208
